DV0,DV1,DV2,DV3,DV4,DV5,DV6,DV7,DV8,DV9,DV10,DV11,DV12,DV13,DV14,DV15,DV16,DV17,DV18,DV19,DV20,DV21,DV22,DV23,DV24,DV25,DV26,DV27,DV28,DV29,DV30,DV31,DV32,DV33,DV34,DV35,DV36,DV37,DV38,DV39,FF_VI,Mass,FF_CP,HV_CP,AI,tip_chord,af_tc1,af_tc2,af1_cm1,af1_cm2,af1_cm3,af1_cm4,af1_cm5,af1_cm6,af2_cm1,af2_cm2,af2_cm3,af2_cm4,af2_cm5,af2_cm6,Mode0,Mode1,Mode2,Mode3,Mode4,Mode5,xi_22(c),xi_40(c),xi_60(c),xi_80(c),xi_100(c)
0.463380298,0.918851971,0.177264562,0.837874779,0.389197918,0.644493859,0.793922026,0.446840828,0.207896555,0.281162997,0.290079363,0.922243489,0.303717837,0.202691438,0.059337901,0.875968564,0.908699071,0.716879958,0.775103971,0.515315493,0.357022806,0.46471946,0.729935938,0.615213185,0.691658749,0.014747883,0.403337887,0.079318015,0.911256753,0.596817431,0.469886572,0.178580763,0.79696514,0.776232852,0.201612071,0.887038102,0.324373268,0.75033823,0.787768143,0.60102886,0.070929177,3.6537,0.00056557,0.00038556,0.034500877,0.100193079,0.151464365,0.18530668,-0.112843576,-0.125203036,-0.127361522,-0.130608006,-0.138016303,-0.147504016,-0.069555906,-0.078142482,-0.077343362,-0.072324135,-0.069326268,-0.074133317,0.6446,1.1014,2.5898,3.16,4.5438,5.3214,0.25014,0.24928,0.2496,0.23978,0.2397
0.25782637,0.263907942,0.393827113,0.553044917,0.289862064,0.319106961,0.723815715,0.985588116,0.532305734,0.113488595,0.324548228,0.911630622,0.89116585,0.82721083,0.14071469,0.246817868,0.141586834,0.910834104,0.457884777,0.97955208,0.742443111,0.548843234,0.448474066,0.320807701,0.251128071,0.203059112,0.711502918,0.914643893,0.788873628,0.239086955,0.898115523,0.677163946,0.98320458,0.310983559,0.285333072,0.214549586,0.641714199,0.231763376,0.310001587,0.501962925,0.062047731,3.4379,0.00043989,0.00038543,0.028493915,0.104086838,0.119610916,0.168799477,-0.104200612,-0.10452625,-0.108289905,-0.116328158,-0.127506799,-0.13744408,-0.062174051,-0.054262581,-0.054651063,-0.058808417,-0.069122136,-0.076891554,0.6944,1.1135,2.8788,3.103,4.5856,5.1799,0.25398,0.25018,0.24994,0.2531,0.2525
0.312694407,0.429423991,0.2585355,0.858616891,0.643218311,0.426840052,0.356986228,0.260147797,0.330708027,0.743511854,0.967869559,0.721568346,0.336699785,0.805881733,0.381702862,0.759844494,0.819066226,0.838654612,0.461349079,0.22262744,0.778833611,0.99436477,0.158410208,0.740732882,0.372512854,0.463393585,0.623643065,0.830894807,0.195787709,0.1365331,0.698907957,0.756341688,0.457599614,0.712107408,0.695879457,0.220260509,0.043585332,0.06593742,0.216771416,0.121822464,0.053446414,3.7759,0.00029715,0.00037964,0.028455444,0.095960037,0.132543408,0.140203908,-0.098009041,-0.107661442,-0.109295485,-0.112126279,-0.120529723,-0.1299816,-0.024956889,-0.014594179,-0.014432055,-0.014258359,-0.013300733,-0.012354935,0.716,1.1175,2.7136,3.3383,4.6897,4.8795,0.2429,0.24966,0.24962,0.25406,0.25322
0.897931745,0.836263416,0.743125539,0.61330467,0.39783396,0.042567706,0.499799771,0.446927261,0.156895764,0.084232459,0.597894275,0.574541709,0.219221278,0.399144128,0.685126651,0.870711728,0.007816637,0.389912478,0.292244943,0.674317964,0.918593011,0.817759847,0.013725696,0.285889907,0.982794956,0.039061527,0.500975973,0.107595939,0.506962483,0.006330808,0.969225582,0.226794519,0.007131783,0.257534001,0.769623856,0.324985465,0.049585582,0.528379045,0.906078688,0.370685111,0.053414131,2.7901,0.00032258,0.00034628,0.019170894,0.093525016,0.158390025,0.096959219,-0.10703884,-0.119846188,-0.119903949,-0.121825702,-0.128547036,-0.133212466,-0.01628822,-0.017413724,-0.017440565,-0.016071414,-0.017280258,-0.0206667,0.7397,1.1202,2.6773,3.342,4.6784,4.8706,0.2494,0.24912,0.2535,0.25066,0.2509
0.971604784,0.375416679,0.450867027,0.520629909,0.127715107,0.754993052,0.987582026,0.613452963,0.129374072,0.225590692,0.188552733,0.238215901,0.792738866,0.886437884,0.004642562,0.452973071,0.887190967,0.652362183,0.66099616,0.999787906,0.971113189,0.010345289,0.989602476,0.001563831,0.3128674,0.490932346,0.41164525,0.712221861,0.199379106,0.345582393,0.538613787,0.129349634,0.810706516,0.698744,0.963710014,0.091080372,0.190103376,0.576835956,0.190799586,0.556745266,0.051914835,3.4528,0.00063813,0.00056711,0.02745726,0.10707277,0.167154313,0.250354021,-0.1150015,-0.125509658,-0.12664255,-0.128887337,-0.13621952,-0.143626008,-0.089942293,-0.091682532,-0.086655192,-0.082049767,-0.069322432,-0.065828035,0.7422,1.1181,2.7042,3.2262,4.8628,5.1746,0.2695,0.24778,0.24778,0.25486,0.25414
0.971604784,0.375416679,0.450867027,0.520629909,0.127715107,0.754993052,0.987582026,0.613452963,0.129374072,0.225590692,0.188552733,0.238215901,0.792738866,0.886437884,0.004642562,0.452973071,0.887190967,0.652362183,0.66099616,0.999787906,0.971113189,0.010345289,0.989602476,0.001563831,0.3128674,0.490932346,0.41164525,0.712221861,0.199379106,0.345582393,0.538613787,0.129349634,0.810706516,0.698744,0.963710014,0.091080372,0.190103376,0.576835956,0.190799586,0.556745266,0.051914835,3.4528,0.00063813,0.00056711,0.02745726,0.10707277,0.167154313,0.250354021,-0.1150015,-0.125509658,-0.12664255,-0.128887337,-0.13621952,-0.143626008,-0.089942293,-0.091682532,-0.086655192,-0.082049767,-0.069322432,-0.065828035,0.7422,1.1181,2.7042,3.2262,4.8628,5.1746,0.2695,0.24778,0.24778,0.25486,0.25414
0.31500469,0.247437232,0.563905198,0.270458232,0.668942586,0.333568962,0.584485314,0.586276037,0.261273397,0.442374644,0.594994094,0.210442238,0.857475932,0.768956819,0.68344393,0.352964537,0.284338607,0.915031206,0.761614096,0.60360245,0.535664779,0.323622187,0.777056744,0.395902627,0.156170353,0.188712684,0.532292889,0.220551936,0.933458146,0.779198981,0.699845462,0.549698567,0.825962984,0.445174779,0.431803752,0.591733467,0.37497883,0.02408818,0.950704107,0.899760552,0.051639919,3.1419,0.00029448,0.00034163,0.024781469,0.104799597,0.144220013,0.100605506,-0.046720519,-0.047336036,-0.047734665,-0.048775469,-0.050850036,-0.054123733,-0.052731207,-0.052064054,-0.053661231,-0.056588168,-0.060926211,-0.065203016,0.7286,1.1205,2.8512,3.1159,4.4507,5.2187,0.25446,0.24966,0.24984,0.24898,0.24976
0.541703441,0.827954825,0.418200861,0.346427042,0.069354403,0.052115939,0.428636862,0.69368109,0.319117473,0.322523682,0.629304126,0.526128397,0.543662898,0.874545227,0.800382369,0.174967756,0.769819439,0.507865345,0.135440117,0.828059956,0.863078301,0.867002903,0.518779007,0.366203253,0.940333116,0.986270874,0.833077187,0.281098994,0.813711122,0.75947188,0.031598069,0.947247614,0.542250297,0.250542421,0.328046473,0.748193448,0.078336466,0.818785496,0.851875592,0.447205875,0.051308345,2.8808,0.00031976,0.00035191,0.021410453,0.095911681,0.12972545,0.088569975,-0.127590685,-0.14631023,-0.147568807,-0.150431645,-0.158583838,-0.164490029,-0.035326868,-0.030737118,-0.031261586,-0.03271809,-0.03482829,-0.038044551,0.706,1.1184,2.6725,3.364,4.5537,4.7386,0.25136,0.25126,0.25658,0.2509,0.25124
0.281851825,0.181720875,0.76501512,0.838936346,0.254321031,0.852701558,0.12811983,0.69492634,0.410173595,0.298906294,0.825935199,0.7911641,0.591976611,0.218729767,0.262258059,0.479044641,0.455211038,0.479578184,0.627033211,0.64882842,0.652114747,0.764536563,0.796162257,0.61874875,0.342882413,0.989524606,0.195464023,0.651235618,0.583854723,0.396556116,0.665362326,0.092523404,0.658529507,0.446692801,0.459106831,0.287142799,0.212554293,0.078846459,0.823553915,0.555700264,0.049827733,3.2589,0.0003217,0.00039511,0.026117647,0.098726084,0.125303808,0.143970688,-0.139411082,-0.152521684,-0.15583424,-0.158611808,-0.168347599,-0.182361268,-0.007963292,-0.008091613,-0.007551482,-0.005953177,-0.006652532,-0.00992924,0.7093,1.1152,2.809,3.2513,4.7396,5.1387,0.2505,0.25304,0.25338,0.24832,0.24838
0.526936521,0.298040428,0.926542655,0.923731374,0.075378334,0.823064338,0.538874476,0.794932974,0.30823553,0.395163409,0.732899064,0.409663111,0.108221308,0.238952526,0.47309754,0.729487221,0.902901769,0.840418947,0.638083561,0.255845693,0.39187616,0.299233431,0.301743904,0.854635054,0.672311407,0.522887012,0.048586335,0.839312351,0.1449813,0.004159479,0.846101231,0.381994169,0.916420592,0.429649746,0.999755202,0.922110191,0.123006409,0.948238104,0.952082294,0.39852141,0.048862779,3.5263,0.00031952,0.00035597,0.028257593,0.093635448,0.137746723,0.1195757,-0.177165593,-0.199054696,-0.203696945,-0.207998957,-0.21935744,-0.23282272,-0.041253367,-0.044895205,-0.04561833,-0.045773391,-0.047927372,-0.052871477,0.6904,1.1157,2.8075,3.1049,4.678,5.1255,0.24482,0.24392,0.251,0.25198,0.25168
