R_mr,c_mr,theta0_mr,tw_mr,R_prop,c_prop,tw_prop,RPM_prop,span_wing,theta0_wing,AR_wing,l_rod,GW,Max_dBA
1.887,0.636,21.5606425,-10.23,3.617,0.336,-14.31,2269.667015,33.97454689,14.54691218,13.13060855,6.740023679,3314.568,87.588813
2.176,0.649,22.8488399,-11.13,3.89,0.371,-12.87,2280.601916,42.65486672,13.16705892,12.21015981,9.231828343,2973.881,69.880688
2.207,0.542,15.31794393,-0.21,3.77,0.415,-12.45,2200.725552,42.67072372,13.9437899,13.73181214,9.086309668,3153.617,73.748392
2.162,0.735,17.0167679,-8.43,4.131,0.342,-14.58,2412.086114,37.048043,10.73771783,11.62961856,6.672380716,2714.048,81.042434
1.976,0.568,15.42786777,-3.71,3.983,0.37,-15.66,2436.267166,42.07988356,12.53423428,10.9848457,9.466129762,2742.67,80.182181
1.966,0.711,14.00899393,-2.47,3.295,0.367,-13.7,2588.306257,39.42161243,10.90309071,13.22561444,7.803513409,2955.903,88.138724
2.279,0.505,21.61373553,-8.88,3.992,0.347,-13,2631.781988,41.51472181,12.52923106,11.3967107,6.687968869,2955.077,66.471806
2.159,0.712,17.26379529,-6.84,3.644,0.382,-16.68,2354.960016,37.64975881,14.30080061,11.52457648,9.397533556,2802.964,78.298569
2.17,0.754,19.6497341,-9.64,3.814,0.311,-12.16,2611.127961,40.49512693,10.30598637,12.28642819,9.503836895,2954.281,77.115534
2.097,0.639,21.33366445,-11.18,3.441,0.406,-15.47,2302.389187,42.86987586,11.97136395,14.13549544,7.889585705,3145.36,79.044888
2.299,0.59,19.71880005,-3.64,3.683,0.303,-13.44,2549.61095,42.39104282,13.34960369,14.78677197,8.551319446,2866.488,61.498813
1.818,0.667,19.55398495,-11.97,3.748,0.316,-15.04,2582.182161,34.38238637,13.53026327,14.80949167,8.098353949,2700.438,95.266809
2.15,0.701,17.80229527,-12.68,3.578,0.427,-17.13,2126.223752,35.20806874,12.95496329,13.96385799,8.885990994,2822.525,88.914156
2.21,0.69,19.25612644,-3.63,3.907,0.308,-15.79,2237.597874,38.05938728,10.13878557,13.72450699,8.376851725,2939.936,66.519106
1.927,0.703,16.6531251,-1.26,3.72,0.425,-15.02,2321.987044,34.62936825,13.79468393,14.16091989,7.121661404,3161.3,84.490066
2.001,0.663,16.53942922,-9.13,3.88,0.432,-16.21,2426.519892,40.56665476,12.68567278,12.79388427,8.056993972,2523.302,85.795045
1.858,0.624,15.06995264,-0.35,3.444,0.368,-12.38,2442.050729,36.33205064,11.00309686,12.84275892,6.9113092,3055.855,88.747499
1.852,0.674,23.38804745,-12.86,3.709,0.367,-16.67,2351.057531,40.74297156,10.57097032,10.73947039,8.326993252,3537.458,79.785802
2.178,0.684,20.78341161,-13.67,3.862,0.302,-17.19,2187.777837,40.67717072,10.50218602,12.71566363,7.759608141,2916.653,79.838825
1.964,0.552,18.04428013,-13.08,3.396,0.418,-14.93,2553.339207,37.36110585,12.59018922,13.09967584,8.690301177,2556.648,88.049124
2.244,0.538,18.96276303,-1.82,4.053,0.346,-13.61,2349.778243,40.64763018,11.61926963,13.41293425,8.756036025,2891.317,63.56032
1.877,0.681,17.51480046,-8.56,3.952,0.411,-15.42,2396.510869,42.59338567,12.88202302,14.31609193,9.376534318,2867.817,73.458256
2.224,0.725,16.3818611,-9.41,3.927,0.316,-15.08,2473.156587,42.36322632,10.54539162,12.51062491,7.217752847,2474.743,80.019059
2.021,0.676,22.05087882,-12.24,3.584,0.392,-15.41,2597.172083,42.55591805,12.20587206,10.11434732,8.735492213,2837.93,78.454541
2.21,0.714,19.37344847,-7.53,3.59,0.339,-13.38,2220.567085,40.63012696,11.26166917,12.39636532,7.554009821,3391.622,76.561508
2.221,0.656,16.48444288,-12.6,3.445,0.392,-12.23,2203.238307,40.16303534,10.58658873,13.58615787,7.362084721,2755.947,92.015285
2.07,0.612,16.45585245,-5.74,3.786,0.364,-15.7,2509.40663,33.38693561,12.6317097,12.24077135,8.06697246,2657.822,81.246697
2.199,0.668,21.1619821,-13.83,3.511,0.383,-15.8,2634.716703,36.85384528,10.09299297,11.32008256,9.311028119,2579.771,74.965129
2.184,0.618,20.81217139,-3.33,3.959,0.386,-17.69,2594.18961,43.06235549,11.47611774,11.03719365,9.36669642,3524.4,68.302203
1.976,0.517,21.38993122,-7.78,4.076,0.356,-17.07,2386.921555,37.53939295,13.13778834,13.86100617,8.934880071,2781.382,72.977659
2.217,0.623,19.58797102,-13.95,3.87,0.312,-13.14,2541.668097,38.25800907,12.99530713,10.27719708,7.51580848,2394.606,76.498434
1.856,0.627,20.20821062,-2,4.086,0.364,-14.73,2160.248276,36.50622057,10.65525016,10.10781512,6.714861239,3190.762,78.473383
2.227,0.67,19.96026258,-12.87,3.944,0.357,-17.93,2506.966665,41.1628756,10.97401234,10.7793337,6.93210804,2535.695,74.365742
2.001,0.607,18.64139662,-11.32,3.561,0.374,-15.01,2503.310788,33.39773305,14.33092994,10.83011392,6.702547432,2339.732,82.4517
2.064,0.748,22.27297387,-5.06,3.792,0.313,-17.32,2461.109051,41.47311031,10.499182,10.84112208,7.475376657,2542.588,63.568405
2.113,0.699,21.06287533,-13.16,4.025,0.309,-12.66,2340.052005,40.25975695,12.48037276,11.71215799,7.842484898,2501.372,75.289488
1.849,0.713,19.06213138,-2.24,3.223,0.372,-16.48,2358.848674,36.84563563,12.86155558,13.69093745,6.719432902,3322.523,86.00972
2.367,0.7,19.27870703,-3.7,4.045,0.346,-13.41,2359.591794,40.65145754,13.56254548,11.59641836,7.029313678,2962.283,62.48731
2.168,0.639,16.40938033,-1.56,4.189,0.408,-16.65,2240.90246,33.66113376,12.05544063,13.04377604,8.410528366,2784.059,70.995397
1.992,0.69,17.3381589,-7.78,3.899,0.409,-15.8,2125.829894,37.4547165,12.3906202,11.38363061,8.061536248,2856.199,87.496864
1.918,0.707,17.27202697,-10.42,3.85,0.384,-13.56,2410.749931,41.78799172,14.56223,14.74083982,8.966937321,2709.463,86.218016
2.297,0.542,20.53187839,-8.39,3.505,0.357,-14.64,2482.540621,34.83796259,11.97204735,11.75291135,7.690784255,2836.67,66.04018
2.045,0.514,20.30567126,-14.24,4.095,0.318,-17.76,2488.475631,37.10492794,12.85475656,12.05669661,8.999556867,2557.382,81.350502
2.151,0.557,18.34942228,-13.19,4.013,0.412,-14.04,2400.997043,38.33720178,12.17188141,11.43746324,7.235384574,2296.251,81.055231
